sgRNA	Marker	norm_value
sgCtrl	CD44	1.180227379
sgCtrl	CD44	0.985101823
sgCtrl	CD44	1.268243995
sgCtrl	CD44	1.313445574
sgCtrl	CD44	1.252424215
sgCtrl	CD44	1.152103497
sgCtrl	CD44	0.594523612
sgCtrl	CD44	0.896361466
sgFosl1_1	CD44	0.280263488
sgFosl1_1	CD44	0.360275279
sgFosl1_1	CD44	0.190935485
sgFosl1_1	CD44	0.14142778
sgFosl1_1	CD44	0.099126521
sgFosl1_1	CD44	0.090088523
sgFosl1_1	CD44	0.142341702
sgFosl1_1	CD44	0.114786614
sgFosl1_1	CD44	0.170041023
sgFosl1_1	CD44	0.190275671
sgFosl1_1	CD44	0.195759872
sgFosl1_1	CD44	0.256464484
sgFosl1_1	CD44	0.179072582
sgFosl1_1	CD44	0.173467638
sgFosl1_1	CD44	0.141618631
sgFosl1_1	CD44	0.112941823
sgFosl1_1	CD44	0.135195938
sgFosl1_1	CD44	0.085168119
sgFosl1_1	CD44	0.185870127
sgFosl1_1	CD44	0.281498123
sgFosl1_1	CD44	0.151326797
sgFosl1_1	CD44	0.167574125
sgFosl1_1	CD44	0.202805342
sgFosl1_1	CD44	0.181489411
sgFosl1_1	CD44	0.210816814
sgFosl1_1	CD44	0.245614045
sgFosl1_1	CD44	0.180611651
sgFosl1_1	CD44	0.162247602
sgFosl1_1	CD44	0.262672116
sgFosl1_1	CD44	0.143206945
sgFosl1_1	CD44	0.112687406
sgFosl1_1	CD44	0.076333489
sgFosl1_1	CD44	0.175576427
sgFosl1_1	CD44	0.196609352
sgFosl1_1	CD44	0.299864232
sgFosl1_1	CD44	0.308868335
sgFosl1_3	CD44	0.206018647
sgFosl1_3	CD44	0.34355054
sgFosl1_3	CD44	0.492026934
sgFosl1_3	CD44	0.422708729
sgFosl1_3	CD44	0.43194479
sgFosl1_3	CD44	0.374677661
sgFosl1_3	CD44	0.233996698
sgFosl1_3	CD44	0.143905909
sgFosl1_3	CD44	0.387751194
sgFosl1_3	CD44	0.609100928
sgFosl1_3	CD44	0.92112678
sgFosl1_3	CD44	0.191134475
sgFosl1_3	CD44	0.263087661
sgFosl1_3	CD44	0.628528592
sgFosl1_3	CD44	0.29635695
sgFosl1_3	CD44	0.328808181
sgFosl1_3	CD44	0.144143738
sgFosl1_3	CD44	0.47314071
sgFosl1_3	CD44	0.301102987
sgFosl1_3	CD44	0.532126374
sgFosl1_3	CD44	0.176249737
sgFosl1_3	CD44	0.219381212
sgFosl1_3	CD44	0.158676909
sgFosl1_3	CD44	0.293851933
sgFosl1_3	CD44	0.265275212
sgFosl1_3	CD44	0.244190723
sgFosl1_3	CD44	0.117235226
sgFosl1_3	CD44	0.434579668
sgFosl1_3	CD44	0.592250398
sgFosl1_3	CD44	0.24345941
sgFosl1_3	CD44	0.423695746
sgFosl1_3	CD44	0.369025068
sgFosl1_3	CD44	0.202452384
sgFosl1_3	CD44	0.172027472
sgFosl1_3	CD44	0.249901833
sgFosl1_3	CD44	0.157394266
sgCtrl	OLIG2	0.472655819
sgCtrl	OLIG2	0.894594426
sgCtrl	OLIG2	1.212158896
sgCtrl	OLIG2	0.729182936
sgCtrl	OLIG2	1.608531996
sgCtrl	OLIG2	0.80032225
sgCtrl	OLIG2	1.543313523
sgCtrl	OLIG2	0.906704456
sgCtrl	OLIG2	0.843115266
sgCtrl	OLIG2	1.132290677
sgCtrl	OLIG2	0.828897504
sgCtrl	OLIG2	0.999977984
sgCtrl	OLIG2	0.914516194
sgCtrl	OLIG2	1.02844482
sgCtrl	OLIG2	1.283645346
sgCtrl	OLIG2	1.295955375
sgCtrl	OLIG2	0.822866563
sgCtrl	OLIG2	1.624243689
sgCtrl	OLIG2	0.756068301
sgCtrl	OLIG2	0.836408234
sgCtrl	OLIG2	1.464316342
sgCtrl	OLIG2	1.143281185
sgCtrl	OLIG2	0.819153453
sgCtrl	OLIG2	1.013659722
sgCtrl	OLIG2	0.79844785
sgCtrl	OLIG2	0.752364955
sgCtrl	OLIG2	1.079857987
sgCtrl	OLIG2	1.204941767
sgCtrl	OLIG2	0.742078147
sgCtrl	OLIG2	0.442746903
sgCtrl	OLIG2	1.086120577
sgCtrl	OLIG2	0.904247904
sgCtrl	OLIG2	1.337922133
sgCtrl	OLIG2	1.09019328
sgCtrl	OLIG2	1.02816031
sgCtrl	OLIG2	0.558613228
sgFosl1_1	OLIG2	2.683353986
sgFosl1_1	OLIG2	2.353036392
sgFosl1_1	OLIG2	2.534645429
sgFosl1_1	OLIG2	2.343406818
sgFosl1_1	OLIG2	2.066995305
sgFosl1_1	OLIG2	2.350833038
sgFosl1_1	OLIG2	2.472509766
sgFosl1_1	OLIG2	2.788501856
sgFosl1_1	OLIG2	1.372652906
sgFosl1_1	OLIG2	2.262556113
sgFosl1_1	OLIG2	2.297600016
sgFosl1_1	OLIG2	2.846552021
sgFosl1_1	OLIG2	2.193395912
sgFosl1_1	OLIG2	2.3446223
sgFosl1_1	OLIG2	2.718587787
sgFosl1_1	OLIG2	2.315863545
sgFosl1_1	OLIG2	2.539625872
sgFosl1_1	OLIG2	2.495128489
sgFosl1_1	OLIG2	2.686826693
sgFosl1_1	OLIG2	3.35894599
sgFosl1_1	OLIG2	1.809802872
sgFosl1_1	OLIG2	2.059933057
sgFosl1_1	OLIG2	2.114263379
sgFosl1_1	OLIG2	2.461815553
sgFosl1_1	OLIG2	2.235064355
sgFosl1_1	OLIG2	1.758871857
sgFosl1_1	OLIG2	1.397068588
sgFosl1_1	OLIG2	2.308662914
sgFosl1_1	OLIG2	2.71096965
sgFosl1_1	OLIG2	2.209918374
sgFosl1_1	OLIG2	2.491573628
sgFosl1_1	OLIG2	2.58800404
sgFosl1_1	OLIG2	2.942424187
sgFosl1_1	OLIG2	1.983489397
sgFosl1_1	OLIG2	3.453104362
sgFosl1_1	OLIG2	2.162679594
sgFosl1_3	OLIG2	2.616131148
sgFosl1_3	OLIG2	1.806224778
sgFosl1_3	OLIG2	1.375100367
sgFosl1_3	OLIG2	1.327255529
sgFosl1_3	OLIG2	1.523719362
sgFosl1_3	OLIG2	1.30517889
sgFosl1_3	OLIG2	1.93342336
sgFosl1_3	OLIG2	1.661739429
sgFosl1_3	OLIG2	0.929551123
sgFosl1_3	OLIG2	0.817193532
sgFosl1_3	OLIG2	2.491637264
sgFosl1_3	OLIG2	2.007268382
sgFosl1_3	OLIG2	1.126372867
sgFosl1_3	OLIG2	1.656990972
sgFosl1_3	OLIG2	2.048812247
sgFosl1_3	OLIG2	2.086362195
sgFosl1_3	OLIG2	1.649166775
sgFosl1_3	OLIG2	2.161460746
sgFosl1_3	OLIG2	1.479196053
sgFosl1_3	OLIG2	1.29901226
sgFosl1_3	OLIG2	2.082730904
sgFosl1_3	OLIG2	1.815577586
sgFosl1_3	OLIG2	1.687160492
sgFosl1_3	OLIG2	1.759880605
sgFosl1_3	OLIG2	2.662220777
sgFosl1_3	OLIG2	2.692614538
sgFosl1_3	OLIG2	1.87429374
sgFosl1_3	OLIG2	2.184834683
sgFosl1_3	OLIG2	2.098186705
sgFosl1_3	OLIG2	2.498029145
sgFosl1_3	OLIG2	1.888436418
sgFosl1_3	OLIG2	1.929513619
sgFosl1_3	OLIG2	2.847128785
sgFosl1_3	OLIG2	2.485824166
sgFosl1_3	OLIG2	2.631483246
sgFosl1_3	OLIG2	2.442319371
