"Probe"	"Feature"	"Chr"	"Start"	"End"	"P.value"	"FDR"	"Log2.Fold.Change"	"Shrunk.Log2.Fold.Change"
"Chr1:1677751-1678050"	"null"	"1"	1677751	1678050	0.11930887	0.20697743	-0.5662979	0.51989883
"Chr1:1689001-1691550"	"NADK"	"1"	1689001	1691550	0.0004969961	0.002459052	1.5364735	-1.358011
"Chr1:1828201-1829250"	"null"	"1"	1828201	1829250	0.1626239	0.26243472	0.74026597	-0.62253016
"Chr1:1849651-1852200"	"TMEM52"	"1"	1849651	1852200	0.60679495	0.7073177	-0.25734663	0.22020549
"Chr1:1890751-1892250"	"C1orf222"	"1"	1890751	1892250	0.168185	0.26930246	-0.6593575	0.57140666
"Chr1:1934551-1935900"	"null"	"1"	1934551	1935900	0.0008932214	0.0039943787	-1.6937114	1.4404804
"Chr1:1945951-1947600"	"GABRD"	"1"	1945951	1947600	0.62213355	0.720332	0.28104258	-0.23052886
"Chr1:2028901-2030100"	"PRKCZ"	"1"	2028901	2030100	0.1905988	0.2965225	-0.61867934	0.5371168
"Chr1:2063551-2065650"	"PRKCZ"	"1"	2063551	2065650	0.7099258	0.7925573	0.2038991	-0.16953373
"Chr1:2070751-2072250"	"PRKCZ"	"1"	2070751	2072250	0.00029407325	0.0015950572	1.6040969	-1.4161186
"Chr1:2120401-2122050"	"C1orf86"	"1"	2120401	2122050	0.8001182	0.86141175	0.09742272	-0.08857488
"Chr1:2125951-2127450"	"C1orf86"	"1"	2125951	2127450	0.4160715	0.5356335	-0.17472328	0.16944586
"Chr1:2143351-2145450"	"AL590822.1"	"1"	2143351	2145450	0.7419219	0.8175905	-0.07605535	0.07341399
"Chr1:2186551-2188200"	"SKI"	"1"	2186551	2188200	0.8222297	0.8764909	-0.089830995	0.08108962
"Chr1:2425351-2426550"	"PLCH2"	"1"	2425351	2426550	2.4319894e-05	0.00019431085	-1.78069	1.5894516
"Chr1:2465851-2467200"	"HES5"	"1"	2465851	2467200	0.00017038491	0.0010047406	-1.7109933	1.5003296
"Chr1:2509501-2510700"	"null"	"1"	2509501	2510700	0.012281951	0.03423703	1.2987001	-1.0987637
"Chr1:2615701-2616000"	"TTC34"	"1"	2615701	2616000	0.38661972	0.5074949	-0.40881538	0.3546727
"Chr1:3209401-3210600"	"PRDM16"	"1"	3209401	3210600	0.035177875	0.079296045	-0.968046	0.8475683
"Chr1:3229051-3230700"	"PRDM16"	"1"	3229051	3230700	0.058514915	0.11812617	1.0213699	-0.8534361
"Chr1:3235351-3237900"	"PRDM16"	"1"	3235351	3237900	0.8505127	0.8975353	0.11994322	-0.094196424
"Chr1:3285751-3287100"	"PRDM16"	"1"	3285751	3287100	0.06823372	0.13355398	1.3136976	-0.9718261
"Chr1:3459151-3460650"	"MEGF6"	"1"	3459151	3460650	1.3994885e-06	1.7348057e-05	2.791334	-2.2728004
"Chr1:3520501-3522450"	"MEGF6"	"1"	3520501	3522450	0.00386279	0.013267688	-1.38425	1.1969944
"Chr1:3540601-3541950"	"TPRG1L"	"1"	3540601	3541950	0.28478563	0.40313	0.38622382	-0.3549913
"Chr1:3640651-3641550"	"TP73"	"1"	3640651	3641550	0.003545551	0.012366597	-1.3934945	1.207117
"Chr1:3712051-3713850"	"LRRC47"	"1"	3712051	3713850	0.15754232	0.25619256	-0.32026216	0.3095373
"Chr1:3773251-3775200"	"DFFB"	"1"	3773251	3775200	0.216546	0.32691872	-0.38784623	0.36367342
"Chr1:3815401-3818400"	"C1orf174"	"1"	3815401	3818400	0.18734886	0.2926519	-0.25664908	0.25025135
"Chr1:5611351-5612400"	"null"	"1"	5611351	5612400	0.0005007134	0.0024738687	-1.5905732	1.3938934
"Chr1:5671201-5672850"	"null"	"1"	5671201	5672850	0.06336444	0.12579535	-0.8453758	0.7405194
"Chr1:5805601-5806500"	"null"	"1"	5805601	5806500	0.016765984	0.04388197	-1.5400981	1.2027993
"Chr1:5916151-5917200"	"null"	"1"	5916151	5917200	0.000109836255	0.00069451635	-1.4473875	1.3220942
"Chr1:6043051-6044250"	"NPHP4"	"1"	6043051	6044250	0.15375751	0.2516063	-0.789662	0.6545483
"Chr1:6084451-6087300"	"null"	"1"	6084451	6087300	0.00034729738	0.0018302196	2.0659087	-1.6845713
"Chr1:6203101-6204300"	"CHD5"	"1"	6203101	6204300	0.093632214	0.17125498	-0.7482841	0.65966916
"Chr1:6217051-6218700"	"CHD5"	"1"	6217051	6218700	2.1768545e-09	6.153545e-08	2.753066	-2.4072263
"Chr1:6264451-6267750"	"RNF207"	"1"	6264451	6267750	0.020060398	0.0505899	0.951217	-0.8546842
"Chr1:6279301-6282000"	"RNF207"	"1"	6279301	6282000	0.05461683	0.11204438	-0.77790904	0.700427
"Chr1:6403051-6404250"	"ACOT7"	"1"	6403051	6404250	0.06539476	0.1291222	-0.78948677	0.70250714
"Chr1:6413551-6415050"	"ACOT7"	"1"	6413551	6415050	0.6215919	0.71992916	0.26590428	-0.22237706
"Chr1:6445201-6447300"	"ACOT7"	"1"	6445201	6447300	0.80418426	0.8644568	-0.0776379	0.07282204
"Chr1:6451951-6454650"	"ACOT7"	"1"	6451951	6454650	0.0070398147	0.02174613	-0.599177	0.57983935
"Chr1:6506551-6508800"	"ESPN"	"1"	6506551	6508800	0.008847278	0.026216408	-1.5367764	1.2460119
"Chr1:6613951-6615450"	"NOL9"	"1"	6613951	6615450	0.060478892	0.12125135	-0.40557674	0.39319372
"Chr1:6639001-6641100"	"TAS1R1"	"1"	6639001	6641100	0.681337	0.7688727	-0.08007238	0.07806969
"Chr1:6672451-6674550"	"PHF13"	"1"	6672451	6674550	0.6142501	0.7137052	-0.09760552	0.0951969
"Chr1:6684301-6686550"	"THAP3"	"1"	6684301	6686550	0.8613647	0.90497315	0.036208253	-0.035187665
"Chr1:6761101-6762750"	"DNAJC11"	"1"	6761101	6762750	0.08316743	0.15620747	-0.3558649	0.3460141
"Chr1:6787351-6788100"	"null"	"1"	6787351	6788100	0.16402262	0.26410228	-0.5759824	0.516689
"Chr1:6843901-6845850"	"CAMTA1"	"1"	6843901	6845850	0.12022328	0.20826001	-0.2893568	0.28274217
"Chr1:6919651-6921000"	"CAMTA1"	"1"	6919651	6921000	8.302006e-11	3.487077e-09	2.8166826	-2.4988444
"Chr1:7051051-7052100"	"CAMTA1"	"1"	7051051	7052100	0.05011323	0.1046683	0.9901078	-0.8444234
"Chr1:7058101-7059000"	"CAMTA1"	"1"	7058101	7059000	0.0018536369	0.007284717	-1.2462649	1.1247797
"Chr1:7177351-7178550"	"CAMTA1"	"1"	7177351	7178550	0.67286193	0.7619375	-0.19894746	0.17304158
"Chr1:7278001-7279050"	"CAMTA1"	"1"	7278001	7279050	0.014436771	0.038923	-1.4855152	1.1889951
"Chr1:7324801-7328250"	"CAMTA1"	"1"	7324801	7328250	0.03614904	0.0809915	1.0533805	-0.8998905
"Chr1:7358551-7362000"	"CAMTA1"	"1"	7358551	7362000	0.018520197	0.0475772	1.214142	-1.0294007
"Chr1:7461451-7463100"	"CAMTA1"	"1"	7461451	7463100	0.0014522749	0.0059568617	1.4396114	-1.2650577
"Chr1:7530151-7532400"	"CAMTA1"	"1"	7530151	7532400	0.0012995779	0.005446286	1.3954444	-1.2381169
"Chr1:7608901-7611900"	"CAMTA1"	"1"	7608901	7611900	0.09462812	0.17261998	0.68206745	-0.6132501
"Chr1:7706851-7708050"	"CAMTA1"	"1"	7706851	7708050	0.031661842	0.072769135	-1.1348321	0.9550014
"Chr1:7812601-7813650"	"CAMTA1"	"1"	7812601	7813650	2.318416e-05	0.00018653966	-1.7418345	1.563438
"Chr1:7870051-7871250"	"PER3"	"1"	7870051	7871250	0.1607614	0.26004347	0.5571283	-0.5037386
"Chr1:7947901-7949250"	"null"	"1"	7947901	7949250	0.009091433	0.026789932	1.2502888	-1.0829715
"Chr1:7980301-7981200"	"TNFRSF9"	"1"	7980301	7981200	0.003793487	0.013058308	1.6556553	-1.3569783
"Chr1:7986601-7987200"	"TNFRSF9"	"1"	7986601	7987200	0.5663109	0.6728291	0.25624648	-0.22620332
"Chr1:8013601-8015100"	"null"	"1"	8013601	8015100	0.1358135	0.22865134	0.72830945	-0.6274045
"Chr1:8020501-8022750"	"PARK7"	"1"	8020501	8022750	0.020770771	0.05196275	-0.3919437	0.3844894
"Chr1:8035051-8036100"	"PARK7"	"1"	8035051	8036100	0.19853681	0.30611748	-0.4354987	0.40424895
"Chr1:8053951-8054850"	"null"	"1"	8053951	8054850	2.6624562e-06	2.9787856e-05	2.2885118	-1.9724554
"Chr1:8098951-8101800"	"null"	"1"	8098951	8101800	0.002510021	0.009325393	1.1783333	-1.0688368
"Chr1:8115601-8117700"	"null"	"1"	8115601	8117700	0.0143928025	0.038822055	0.8600528	-0.7939957
"Chr1:8192401-8195100"	"null"	"1"	8192401	8195100	0.03780349	0.08383297	1.1725395	-0.9649245
"Chr1:8197051-8199300"	"null"	"1"	8197051	8199300	0.02083641	0.052113805	0.87370265	-0.7968844
"Chr1:8291701-8293350"	"null"	"1"	8291701	8293350	0.61168396	0.7116968	0.23716018	-0.20680127
"Chr1:8318551-8320500"	"null"	"1"	8318551	8320500	0.00020372763	0.001170263	1.7115252	-1.496809
"Chr1:8403001-8404950"	"SLC45A1"	"1"	8403001	8404950	0.0034566778	0.012099186	1.3780695	-1.198573
"Chr1:8433301-8434350"	"RERE"	"1"	8433301	8434350	0.7187767	0.799445	-0.11048591	0.10388881
"Chr1:8483701-8485350"	"RERE"	"1"	8483701	8485350	0.21297617	0.32310405	0.23200613	-0.22669907
"Chr1:8530051-8531100"	"RERE"	"1"	8530051	8531100	9.358214e-05	0.0006072893	-1.696003	1.5063488
"Chr1:8553451-8554950"	"RERE"	"1"	8553451	8554950	0.9947897	0.9965556	0.0026272396	-0.0023687817
"Chr1:8585251-8586750"	"RERE"	"1"	8585251	8586750	0.8161666	0.87207246	0.055893574	-0.05379601
"Chr1:8908651-8909700"	"null"	"1"	8908651	8909700	0.0031110132	0.011079867	-1.1541346	1.0464906
"Chr1:8949151-8950800"	"null"	"1"	8949151	8950800	0.060054794	0.12056244	-0.6897276	0.6323207
"Chr1:8959501-8960850"	"null"	"1"	8959501	8960850	5.166534e-06	5.2671367e-05	1.8791695	-1.6859233
"Chr1:8977951-8978850"	"null"	"1"	8977951	8978850	2.2808047e-06	2.6224674e-05	-2.0732434	1.8346713
"Chr1:9001501-9002550"	"CA6"	"1"	9001501	9002550	0.0570542	0.115913436	-0.76492566	0.689758
"Chr1:9045601-9047100"	"null"	"1"	9045601	9047100	0.07866441	0.14957303	-0.66039956	0.6030577
"Chr1:9064651-9065850"	"SLC2A7"	"1"	9064651	9065850	0.032412685	0.07416238	-0.89452654	0.800038
"Chr1:9140401-9141450"	"null"	"1"	9140401	9141450	0.0046540103	0.015474168	1.3347645	-1.1606313
"Chr1:9170551-9171600"	"GPR157"	"1"	9170551	9171600	0.008063172	0.024281781	-0.9845053	0.90047604
"Chr1:9187951-9190350"	"GPR157"	"1"	9187951	9190350	0.054116666	0.111248545	0.8220887	-0.7321062
"Chr1:9204901-9206250"	"null"	"1"	9204901	9206250	0.7621368	0.8325163	0.13286334	-0.11758764
"Chr1:9222451-9225600"	"null"	"1"	9222451	9225600	0.2973304	0.4164278	0.34136155	-0.3183358
"Chr1:9326701-9328200"	"H6PD"	"1"	9326701	9328200	0.10355724	0.18511571	0.5527104	-0.5128196
"Chr1:9335101-9336450"	"null"	"1"	9335101	9336450	0.00074391655	0.0034277334	1.5575842	-1.361637
"Chr1:9339301-9341550"	"null"	"1"	9339301	9341550	4.6134416e-09	1.19092476e-07	2.24941	-2.046051
"Chr1:9359701-9361350"	"null"	"1"	9359701	9361350	1.7342072e-07	2.8635122e-06	2.15529	-1.9337257
"Chr1:9362701-9364050"	"null"	"1"	9362701	9364050	5.6007267e-15	6.688932e-13	2.7111075	-2.507624
"Chr1:9448201-9449700"	"null"	"1"	9448201	9449700	0.00064944493	0.0030680213	-1.5377579	1.3522476
"Chr1:9460201-9461400"	"null"	"1"	9460201	9461400	0.0009498864	0.0042029046	1.847249	-1.5247296
"Chr1:9472651-9474300"	"null"	"1"	9472651	9474300	1.6803578e-10	6.4561343e-09	2.8988717	-2.544562
"Chr1:9488251-9489750"	"null"	"1"	9488251	9489750	0.010113669	0.029205697	-0.6630387	0.6345744
"Chr1:9515401-9516600"	"null"	"1"	9515401	9516600	0.05083306	0.105881736	0.7410058	-0.6750957
"Chr1:9554701-9556050"	"null"	"1"	9554701	9556050	0.049646884	0.10389128	-0.7385119	0.67414886
"Chr1:9686701-9687900"	"null"	"1"	9686701	9687900	0.3329184	0.4531457	-0.46789995	0.4042119
"Chr1:9731101-9732150"	"null"	"1"	9731101	9732150	0.10062667	0.18081184	0.75482106	-0.66104233
"Chr1:9760051-9761100"	"null"	"1"	9760051	9761100	3.5793512e-06	3.8233746e-05	2.5266259	-2.1024833
"Chr1:9778651-9780000"	"PIK3CD"	"1"	9778651	9780000	1.8721462e-10	7.0741906e-09	2.4728758	-2.2449088
"Chr1:9784651-9785550"	"PIK3CD"	"1"	9784651	9785550	0.08977537	0.16570914	0.5355701	-0.5019036
"Chr1:9896101-9897300"	"null"	"1"	9896101	9897300	3.5070425e-07	5.1835204e-06	-2.201472	1.9546918
"Chr1:9927001-9928200"	"CTNNBIP1"	"1"	9927001	9928200	0.0029591015	0.010643544	-1.4122127	1.2251774
"Chr1:9937651-9939000"	"null"	"1"	9937651	9939000	0.040629365	0.088555194	-0.75431085	0.69115984
"Chr1:9952651-9954750"	"null"	"1"	9952651	9954750	0.0027181378	0.009928999	0.9928596	-0.92452025
"Chr1:9958501-9959700"	"null"	"1"	9958501	9959700	0.05794761	0.11728346	0.789228	-0.70673174
"Chr1:9969001-9971550"	"null"	"1"	9969001	9971550	0.75000656	0.82368326	-0.06729054	0.06532505
"Chr1:10002301-10004550"	"LZIC"	"1"	10002301	10004550	0.24685492	0.36153516	-0.19619371	0.19246644
"Chr1:10010251-10011150"	"null"	"1"	10010251	10011150	0.08019213	0.15177912	-0.6985034	0.630745
"Chr1:10018501-10019700"	"null"	"1"	10018501	10019700	0.7472287	0.8216946	0.13498221	-0.12067208
"Chr1:10056601-10057500"	"RBP7"	"1"	10056601	10057500	0.64935046	0.7422467	-0.20717216	0.18169723
"Chr1:10092001-10094100"	"UBE4B"	"1"	10092001	10094100	0.11192279	0.19686285	-0.29928386	0.29229227
"Chr1:10134151-10135050"	"UBE4B"	"1"	10134151	10135050	0.08933417	0.16515665	0.6129727	-0.5635534
"Chr1:10167751-10169250"	"UBE4B"	"1"	10167751	10169250	0.07150954	0.13872729	-0.75048995	0.6719796
"Chr1:10290301-10291650"	"KIF1B"	"1"	10290301	10291650	0.21350624	0.32374302	0.41797513	-0.388461
"Chr1:10458151-10460100"	"PGD"	"1"	10458151	10460100	0.035614725	0.08015066	-0.47017685	0.45481294
"Chr1:10489801-10491600"	"APITD1"	"1"	10489801	10491600	0.016694713	0.04373777	-0.5364998	0.5189072
"Chr1:10518901-10519800"	"DFFA"	"1"	10518901	10519800	2.0650219e-05	0.00016968671	1.7610513	-1.5801924
"Chr1:10531351-10533300"	"DFFA"	"1"	10531351	10533300	0.35373637	0.47474557	-0.22576609	0.21708563
"Chr1:10569901-10571700"	"PEX14"	"1"	10569901	10571700	0.013407317	0.036709953	0.9786431	-0.8851523
"Chr1:10587901-10589400"	"PEX14"	"1"	10587901	10589400	0.8996427	0.93316144	-0.055638727	0.049184304
"Chr1:10635301-10636350"	"PEX14"	"1"	10635301	10636350	9.944364e-06	9.192586e-05	2.4697084	-2.038523
"Chr1:10790701-10792350"	"null"	"1"	10790701	10792350	0.520761	0.6318293	-0.3168124	0.27207294
"Chr1:10837501-10840350"	"null"	"1"	10837501	10840350	0.060444683	0.12119911	1.4672879	-1.0370996
"Chr1:10863751-10865100"	"null"	"1"	10863751	10865100	0.3469532	0.46795717	0.49620146	-0.4179321
"Chr1:11020651-11021700"	"C1orf127"	"1"	11020651	11021700	0.0013562836	0.005643369	-1.4261948	1.2577102
"Chr1:11071801-11074050"	"TARDBP"	"1"	11071801	11074050	0.10667712	0.18956463	-0.24300347	0.23933886
"Chr1:11097301-11098350"	"MASP2"	"1"	11097301	11098350	3.4815395e-07	5.1535103e-06	-2.0127113	1.8205361
"Chr1:11158801-11160750"	"EXOSC10"	"1"	11158801	11160750	0.012107725	0.033856094	-0.45846048	0.44835654
"Chr1:11322001-11323500"	"MTOR"	"1"	11322001	11323500	0.18393414	0.28864557	-0.28520638	0.27660432
"Chr1:11332351-11334150"	"UBIAD1"	"1"	11332351	11334150	0.08218633	0.1547753	-0.34330478	0.33449653
"Chr1:11380051-11381100"	"null"	"1"	11380051	11381100	0.00047806825	0.002380575	-1.5823483	1.3900415
"Chr1:11443951-11445000"	"null"	"1"	11443951	11445000	0.003188456	0.011314834	-1.1828781	2.5550692
"Chr1:11538301-11539800"	"null"	"1"	11538301	11539800	1.3508811e-07	2.3207685e-06	-1.8127494	1.6786786
"Chr1:11610601-11611350"	"null"	"1"	11610601	11611350	0.006074974	0.019292777	-1.295859	1.128843
"Chr1:11740201-11742300"	"MAD2L2"	"1"	11740201	11742300	0.34627476	0.46713477	-0.17223693	0.1684363
"Chr1:11752351-11754000"	"null"	"1"	11752351	11754000	0.14587884	0.24158518	-0.7156099	0.61512953
"Chr1:11795551-11797800"	"AGTRAP"	"1"	11795551	11797800	0.9652798	0.9781072	0.010006795	-0.009662252
"Chr1:11844301-11845950"	"C1orf167"	"1"	11844301	11845950	0.8754433	0.9155595	0.07167599	-0.06281322
"Chr1:11881051-11882400"	"CLCN6"	"1"	11881051	11882400	0.0009792044	0.0043044467	1.403714	-1.2507377
"Chr1:11898301-11899500"	"CLCN6"	"1"	11898301	11899500	0.0018799254	0.0073695253	-1.4519849	1.2649692
"Chr1:11922601-11923650"	"NPPB"	"1"	11922601	11923650	0.0023158614	0.008724232	-1.2320371	1.1099604
"Chr1:11953651-11954550"	"null"	"1"	11953651	11954550	0.0027232151	0.009946324	-1.2769985	1.8784766
"Chr1:11961001-11962200"	"null"	"1"	11961001	11962200	0.010985706	0.031307418	-1.2603272	1.0801431
"Chr1:11967001-11970600"	"null"	"1"	11967001	11970600	0.65734124	0.7491095	-0.08975349	0.08734114
"Chr1:11998501-12000900"	"PLOD1"	"1"	11998501	12000900	0.47361392	0.5887852	-0.29012388	0.26123935
"Chr1:12039451-12041400"	"PLOD1"	"1"	12039451	12041400	0.67126226	0.7605742	-0.0902347	0.087563865
"Chr1:12061351-12063000"	"MFN2"	"1"	12061351	12063000	0.2127236	0.32281968	0.647388	-0.54752207
"Chr1:12078751-12080550"	"MIIP"	"1"	12078751	12080550	0.38952273	0.51022106	-0.24958402	0.2361738
"Chr1:12111301-12112950"	"null"	"1"	12111301	12112950	0.3223968	0.44218412	0.4309166	-0.3820451
"Chr1:12141151-12142650"	"TNFRSF8"	"1"	12141151	12142650	0.0391242	0.08602996	-0.6899489	0.64150006
"Chr1:12212851-12214050"	"null"	"1"	12212851	12214050	0.013637598	0.037176173	1.2407345	-1.059871
"Chr1:12221101-12223200"	"TNFRSF1B"	"1"	12221101	12223200	0.039293498	0.08629422	0.79611886	-0.72337556
"Chr1:12237751-12240000"	"TNFRSF1B"	"1"	12237751	12240000	0.957066	0.97255045	0.021733047	-0.019581603
"Chr1:12492901-12495150"	"VPS13D"	"1"	12492901	12495150	0.9656785	0.9783457	-0.021386411	0.018335992
"Chr1:12561151-12562500"	"VPS13D"	"1"	12561151	12562500	0.8263162	0.87978184	0.1090712	-0.093501545
"Chr1:12588001-12589800"	"null"	"1"	12588001	12589800	0.3176129	0.43715507	-0.36570522	0.33545876
"Chr1:12608701-12611250"	"null"	"1"	12608701	12611250	0.0032890057	0.0116203455	1.3418326	-1.1762476
"Chr1:12647851-12648900"	"DHRS3"	"1"	12647851	12648900	0.005250369	0.017101847	-1.0849985	0.9846505
"Chr1:12718651-12719700"	"AADACL4"	"1"	12718651	12719700	0.018428968	0.04736895	-0.87056494	0.79777026
"Chr1:12911101-12912450"	"HNRNPCL1"	"1"	12911101	12912450	5.8620953e-06	5.873551e-05	2.8554218	-2.2456734
"Chr1:13833301-13834350"	"LRRC38"	"1"	13833301	13834350	0.047097914	0.09965809	-0.8414044	0.7506552
"Chr1:13870351-13870950"	"null"	"1"	13870351	13870950	0.08029738	0.15192997	-0.8971148	0.76201963
"Chr1:13991851-13992900"	"null"	"1"	13991851	13992900	0.016489832	0.043334626	-1.1730618	1.0097631
"Chr1:14085151-14086500"	"PRDM2"	"1"	14085151	14086500	0.16157444	0.26109335	-0.6258061	0.5517378
"Chr1:14093101-14094300"	"PRDM2"	"1"	14093101	14094300	5.983198e-06	5.968747e-05	2.0230772	-1.7823877
"Chr1:14155051-14156550"	"null"	"1"	14155051	14156550	0.015286161	0.04075122	-1.0040348	0.89981925
"Chr1:14247751-14249700"	"C1orf196"	"1"	14247751	14249700	0.0020491832	0.00790384	-1.3441075	1.1912017
"Chr1:14366101-14367150"	"C1orf196"	"1"	14366101	14367150	0.039356288	0.08639628	-0.9856737	0.85293996
"Chr1:14381701-14383050"	"C1orf196"	"1"	14381701	14383050	0.36792547	0.4889341	-0.418321	0.36489922
"Chr1:14672251-14673450"	"null"	"1"	14672251	14673450	0.004906636	0.016142664	-1.4896191	1.2525985
"Chr1:15068251-15069750"	"KAZN"	"1"	15068251	15069750	1.3212908e-05	0.00011669898	1.8108968	-1.6217582
"Chr1:15322201-15323700"	"KAZN"	"1"	15322201	15323700	1.2818872e-09	3.9058158e-08	2.4700902	-2.2215426
"Chr1:15426601-15427500"	"KAZN"	"1"	15426601	15427500	5.190514e-07	7.301585e-06	-2.0358894	1.8318435
"Chr1:15454651-15455850"	"null"	"1"	15454651	15455850	0.009608147	0.028012458	-0.9717826	0.8874422
"Chr1:15526201-15529200"	"null"	"1"	15526201	15529200	0.0845099	0.15803027	-0.7000873	0.6300816
"Chr1:15562351-15564000"	"null"	"1"	15562351	15564000	0.025949692	0.062018782	-0.9463566	-1.2679876
"Chr1:15585601-15589050"	"FHAD1"	"1"	15585601	15589050	0.00840783	0.025136428	1.1624444	-1.0275216
"Chr1:15598351-15599850"	"FHAD1"	"1"	15598351	15599850	2.7851002e-07	4.264846e-06	-2.005559	1.8179436
"Chr1:15630751-15631950"	"FHAD1"	"1"	15630751	15631950	0.54221135	0.6513395	-0.24026321	0.21735986
"Chr1:15649051-15650850"	"FHAD1"	"1"	15649051	15650850	0.5206352	0.63173616	0.2965382	-0.2592773
"Chr1:15663451-15665550"	"FHAD1"	"1"	15663451	15665550	0.0012558703	0.0053049815	1.2596977	-1.1422567
"Chr1:15752551-15754050"	"EFHD2"	"1"	15752551	15754050	0.00018095018	0.0010601057	1.5935323	-1.4199396
"Chr1:15786001-15786900"	"CELA2A"	"1"	15786001	15786900	0.0011624041	0.004974409	-1.7568717	1.4664918
"Chr1:15942901-15945450"	"DDI2"	"1"	15942901	15945450	0.86429906	0.90696657	0.029591586	-0.029004734
"Chr1:16067551-16068600"	"TMEM82"	"1"	16067551	16068600	0.958168	0.97322226	0.02572563	-0.022130867
"Chr1:16082401-16083750"	"null"	"1"	16082401	16083750	0.049180932	0.10315578	-1.027087	0.8673443
"Chr1:16125151-16128300"	"null"	"1"	16125151	16128300	1.504054e-16	2.6944313e-14	2.9371052	-2.7057261
"Chr1:16141651-16142700"	"null"	"1"	16141651	16142700	0.0032936798	0.011634096	-0.9882314	0.91822284
"Chr1:16211851-16213800"	"SPEN"	"1"	16211851	16213800	0.46994627	0.58522874	-0.16930434	0.16325894
"Chr1:16224001-16225050"	"SPEN"	"1"	16224001	16225050	0.00027831318	0.0015219443	1.9506992	-1.6328666
"Chr1:16301551-16303350"	"null"	"1"	16301551	16303350	0.09591394	0.17437726	-0.33274123	0.3240067
"Chr1:16311751-16312800"	"null"	"1"	16311751	16312800	0.00011732139	0.0007320402	1.9432644	-1.6593251
"Chr1:16320751-16321800"	"null"	"1"	16320751	16321800	0.2352325	0.34865153	-0.49765244	0.44461617
